action,dummy
Grocery shopping,dummy
Driving a car,dummy
Reading a book,dummy
Going on vacation,dummy
Having lunch with a friend,dummy
Buying a car,dummy
Riding in an airplane,dummy
Calling a relative,dummy
Taking a shower,dummy
Going to the gym,dummy
Getting a haircut,dummy
A job interview,dummy
Attending a wedding,dummy
Playing cards,dummy
Making dinner,dummy
Buying coffee,dummy
Writing a letter,dummy
Cashing a check,dummy
Using an ATM,dummy
Doing laundry,dummy
Cleaning your room,dummy
Washing dishes,dummy
Throwing a ball,dummy
Hosting a party,dummy
Composing an email,dummy
Attending a party,dummy
Going shopping,dummy
Sending a text,dummy
Listening to music,dummy
Reading a newspaper,dummy
Riding a bike,dummy
Going for a walk,dummy
Walking a dog,dummy
Breaking your phone,dummy
Going on a date,dummy
Taking a photo with a friend,dummy
Celebrating a friend's birthday,dummy
Riding in a canoe,dummy
Watching TV,dummy
Going to a movie,dummy
Going to a concert,dummy
Staying home to study,dummy
Making a budget,dummy
Toothbrushing,dummy
Caring for houseplants,dummy
Locking a door,dummy
Painting a room,dummy
Greeting someone,dummy